Problem,PushGP,GPT-4o (Data),GPT-4o (Text)
Basement,1,0,0
Bouncing Balls,0,0,0
Bowling,0,27,23
Camel Case,0,0,0
Coin Sums,14,0,0
Cut Vector,0,0,0
Dice Game,0,0,0
Find Pair,1,0,0
Fizz Buzz,47,92,100
Fuel Cost,46,0,0
GCD,1,100,100
Indices of Substring,0,0,0
Leaders,0,0,0
Luhn,0,0,0
Mastermind,0,1,0
Middle Character,53,12,100
Paired Digits,2,3,37
Shopping List,0,0,0
Snow Day,0,0,0
Solve Boolean,0,11,18
Spin Words,0,0,0
Square Digits,0,89,100
Substitution Cipher,16,0,0
Twitter,10,0,0
Vector Distance,0,0,0
